年月別,機關別,全年度預算數/金額[千元],全年度預算數/百分比[%],累計分配數/金額[千元],累計分配數/占預算數[%],累計執行數/金額[千元],累計執行數/占預算數[%],累計執行數/占分配數[%]
103年8月,資訊局,546746,0.32,329128,60.2,234855,42.96,71.36
103年8月,法務局,152315,0.09,118831,78.02,104000,68.28,87.52
103年8月,捷運工程局,13970,0.01,100,0.72,-,-,-
103年8月,統籌支撥科目,7350576,4.29,6224787,84.68,5294133,72.02,85.05
103年8月,第二預備金,504988,0.29,-,-,-,-,--
103年9月,總計,171231396,100,127291936,74.34,115994060,67.74,91.12
103年9月,市議會,835785,0.49,659503,78.91,547158,65.47,82.97
103年9月,市政府,4951477,2.89,3890505,78.57,3335858,67.37,85.74
103年9月,民政局,2735599,1.6,2119388,77.47,1828656,66.85,86.28
103年9月,財政局,4833341,2.82,3972158,82.18,3865880,79.98,97.32
103年9月,教育局,57477925,33.57,46075910,80.16,45033072,78.35,97.74
103年9月,產業發展局,2056604,1.2,1417292,68.91,1225517,59.59,86.47
103年9月,工務局,13857903,8.09,9145172,65.99,7131266,51.46,77.98
103年9月,交通局,5971894,3.49,4656958,77.98,4099122,68.64,88.02
103年9月,社會局,14311061,8.36,10614065,74.17,9233430,64.52,86.99
103年9月,勞動局,18291767,10.68,9344216,51.08,9258559,50.62,99.08
103年9月,警察局,13320350,7.78,10787148,80.98,9460423,71.02,87.7
103年9月,衛生局,4860654,2.84,3654988,75.2,3443172,70.84,94.2
103年9月,環境保護局,6644219,3.88,5306138,79.86,4892622,73.64,92.21
103年9月,都市發展局,1971132,1.15,1403735,71.21,1268210,64.34,90.35
103年9月,文化局,3822008,2.23,2757670,72.15,1696162,44.38,61.51
103年9月,消防局,2797406,1.63,2085970,74.57,1727265,61.75,82.8
103年9月,翡翠水庫管理局,303598,0.18,228235,75.18,195106,64.26,85.48
103年9月,觀光傳播局,539950,0.32,337774,62.56,262194,48.56,77.62
103年9月,地政局,1161198,0.68,898596,77.39,818167,70.46,91.05
103年9月,兵役局,206387,0.12,176859,85.69,126591,61.34,71.58
103年9月,臺北自來水事業處,290033,0.17,246133,84.86,246004,84.82,99.95
103年9月,體育局,1470193,0.86,785967,53.46,557326,37.91,70.91
103年9月,資訊局,546746,0.32,355162,64.96,259347,47.43,73.02
103年9月,法務局,152315,0.09,129175,84.81,113742,74.68,88.05
103年9月,捷運工程局,13970,0.01,100,0.72,-,-,-
103年9月,統籌支撥科目,7350576,4.29,6243118,84.93,5369213,73.04,86
103年9月,第二預備金,457305,0.27,-,-,-,-,--
103年10月,總計,173637613,100,137765322,79.34,125939240,72.53,91.42
103年10月,市議會,835785,0.48,720555,86.21,606142,72.52,84.12
103年10月,市政府,4967792,2.86,4264637,85.85,3741283,75.31,87.73
103年10月,民政局,2738706,1.58,2259999,82.52,2005320,73.22,88.73
103年10月,財政局,4844184,2.79,4061163,83.84,3960612,81.76,97.52
103年10月,教育局,57489969,33.11,49670638,86.4,48650184,84.62,97.95
103年10月,產業發展局,2089270,1.2,1643014,78.64,1381172,66.11,84.06
103年10月,工務局,13926614,8.02,10413060,74.77,8176034,58.71,78.52
103年10月,交通局,6184498,3.56,5052143,81.69,4460894,72.13,88.3
103年10月,社會局,16184584,9.32,11857199,73.26,10445310,64.54,88.09
103年10月,勞動局,18293467,10.54,9406638,51.42,9310645,50.9,98.98
103年10月,警察局,13321850,7.67,11724192,88.01,10356516,77.74,88.33
103年10月,衛生局,4902711,2.82,4087472,83.37,3863898,78.81,94.53
103年10月,環境保護局,6663375,3.84,5744486,86.21,5319402,79.83,92.6
103年10月,都市發展局,1981275,1.14,1739315,87.79,1590642,80.28,91.45
103年10月,文化局,3904613,2.25,2914672,74.65,1874986,48.02,64.33
103年10月,消防局,2799925,1.61,2354939,84.11,1894026,67.65,80.43
103年10月,翡翠水庫管理局,305718,0.18,255037,83.42,217304,71.08,85.2
103年10月,觀光傳播局,560284,0.32,388463,69.33,300579,53.65,77.38
103年10月,地政局,1162474,0.67,965913,83.09,891115,76.66,92.26
103年10月,兵役局,257629,0.15,188110,73.02,137378,53.32,73.03
103年10月,臺北自來水事業處,290033,0.17,256133,88.31,254087,87.61,99.2
103年10月,體育局,1490677,0.86,848006,56.89,639757,42.92,75.44
103年10月,資訊局,546746,0.31,416727,76.22,298398,54.58,71.61
103年10月,法務局,152715,0.09,138950,90.99,125477,82.16,90.3
103年10月,捷運工程局,13970,0.01,100,0.72,-,-,-
103年10月,統籌支撥科目,7350576,4.23,6393760,86.98,5438081,73.98,85.05
103年10月,第二預備金,378173,0.22,-,-,-,-,--
103年11月,總計,173637613,100,149766081,86.25,136074504,78.37,90.86
103年11月,市議會,835785,0.48,781607,93.52,651413,77.94,83.34
103年11月,市政府,4967792,2.86,4640982,93.42,4045236,81.43,87.16
103年11月,民政局,2757132,1.59,2618065,94.96,2307370,83.69,88.13
103年11月,財政局,4844184,2.79,4385221,90.53,4273370,88.22,97.45
103年11月,教育局,57494454,33.11,52713052,91.68,51400158,89.4,97.51
103年11月,產業發展局,2089270,1.2,1842305,88.18,1584481,75.84,86.01
103年11月,工務局,13944790,8.03,11812142,84.71,9070728,65.05,76.79
103年11月,交通局,6184498,3.56,5485597,88.7,4735968,76.58,86.33
103年11月,社會局,16185461,9.32,14396964,88.95,12861244,79.46,89.33
103年11月,勞動局,18293467,10.54,9474802,51.79,9368996,51.21,98.88
103年11月,警察局,13321850,7.67,12725757,95.53,11257236,84.5,88.46
103年11月,衛生局,4908674,2.83,4523868,92.16,4287558,87.35,94.78
103年11月,環境保護局,6662449,3.84,6218352,93.33,5750802,86.32,92.48
103年11月,都市發展局,1989509,1.15,1858932,93.44,1662216,83.55,89.42
103年11月,文化局,3904613,2.25,3440383,88.11,2069737,53.01,60.16
103年11月,消防局,2803325,1.61,2604147,92.89,2100418,74.93,80.66
103年11月,翡翠水庫管理局,305718,0.18,277277,90.7,238497,78.01,86.01
103年11月,觀光傳播局,560284,0.32,437844,78.15,343175,61.25,78.38
103年11月,地政局,1162474,0.67,1000946,86.1,960585,82.63,95.97
103年11月,兵役局,257629,0.15,250217,97.12,187374,72.73,74.88
103年11月,臺北自來水事業處,290033,0.17,270833,93.38,256271,88.36,94.62
103年11月,體育局,1490677,0.86,1010266,67.77,697198,46.77,69.01
103年11月,資訊局,546746,0.31,451379,82.56,335266,61.32,74.28
103年11月,法務局,152715,0.09,147251,96.42,136602,89.45,92.77
103年11月,捷運工程局,13970,0.01,100,0.72,-,-,-
103年11月,統籌支撥科目,7350576,4.23,6397791,87.04,5492607,74.72,85.85
103年11月,第二預備金,319536,0.18,-,-,-,-,--
103年12月,總計,173637613,100,172673987,99.45,159598548,91.91,92.43
103年12月,市議會,835785,0.48,829105,99.2,717942,85.9,86.59
103年12月,市政府,4975806,2.87,4971603,99.92,4713110,94.72,94.8
103年12月,民政局,2759395,1.59,2759248,99.99,2611020,94.62,94.63
103年12月,財政局,4838989,2.79,4837879,99.98,4756860,98.3,98.33
103年12月,教育局,57495217,33.11,57494811,100,57139728,99.38,99.38
103年12月,產業發展局,2093909,1.21,2093901,100,1897143,90.6,90.6
103年12月,工務局,13947038,8.03,13946707,100,11613148,83.27,83.27
103年12月,交通局,6207122,3.57,6206137,99.98,5865052,94.49,94.5
103年12月,社會局,16406161,9.45,16405912,100,15572206,94.92,94.92
103年12月,勞動局,18305371,10.54,18305368,100,15227160,83.18,83.18
103年12月,警察局,13321850,7.67,13316310,99.96,12228198,91.79,91.83
103年12月,衛生局,4907994,2.83,4907904,100,4710285,95.97,95.97
103年12月,環境保護局,6661005,3.84,6661005,100,6295788,94.52,94.52
103年12月,都市發展局,1960621,1.13,1959945,99.97,1839832,93.84,93.87
103年12月,文化局,3926963,2.26,3925073,99.95,2490470,63.42,63.45
103年12月,消防局,2803325,1.61,2800915,99.91,2317588,82.67,82.74
103年12月,翡翠水庫管理局,305718,0.18,305695,99.99,286766,93.8,93.81
103年12月,觀光傳播局,558984,0.32,558984,100,454485,81.31,81.31
103年12月,地政局,1162474,0.67,1162196,99.98,1151870,99.09,99.11
103年12月,兵役局,257629,0.15,257589,99.98,201774,78.32,78.33
103年12月,臺北自來水事業處,290033,0.17,290033,100,283332,97.69,97.69
103年12月,體育局,1501180,0.86,1501150,100,945811,63,63.01
103年12月,資訊局,546746,0.31,546146,99.89,475691,87,87.1
103年12月,法務局,152115,0.09,151921,99.87,145536,95.67,95.8
103年12月,捷運工程局,13970,0.01,13970,100,2,0.01,0.01
103年12月,統籌支撥科目,7350576,4.23,6464480,87.95,5657753,76.97,87.52
103年12月,第二預備金,51636,0.03,-,-,-,-,--
104年1月,總計,158544077,100,23259753,14.67,19418038,12.25,83.48
104年1月,市議會,830527,0.52,154078,18.55,56186,6.77,36.47
104年1月,市政府,5080278,3.2,632923,12.46,417545,8.22,65.97
104年1月,民政局,2682817,1.69,292686,10.91,193758,7.22,66.2
104年1月,財政局,3655513,2.31,152146,4.16,132809,3.63,87.29
104年1月,教育局,55793994,35.19,11100783,19.9,11028372,19.77,99.35
104年1月,產業發展局,2023974,1.28,145419,7.18,108610,5.37,74.69
104年1月,工務局,13964694,8.81,1252993,8.97,660789,4.73,52.74
104年1月,交通局,5819572,3.67,1494531,25.68,1307898,22.47,87.51
104年1月,社會局,14375598,9.07,991878,6.9,828146,5.76,83.49
104年1月,勞動局,4350616,2.74,88032,2.02,56375,1.3,64.04
104年1月,警察局,13619735,8.59,1494516,10.97,1168098,8.58,78.16
104年1月,衛生局,4928919,3.11,168212,3.41,95330,1.93,56.67
104年1月,環境保護局,6501271,4.1,1266708,19.48,731602,11.25,57.76
104年1月,都市發展局,1959223,1.24,150385,7.68,115818,5.91,77.01
104年1月,文化局,5023821,3.17,523657,10.42,297623,5.92,56.84
104年1月,消防局,2862595,1.81,323928,11.32,214612,7.5,66.25
104年1月,翡翠水庫管理局,419358,0.26,21412,5.11,17968,4.28,83.92
104年1月,觀光傳播局,497355,0.31,51226,10.3,27096,5.45,52.89
104年1月,地政局,1168713,0.74,189522,16.22,141473,12.11,74.65
104年1月,兵役局,203169,0.13,40404,19.89,17644,8.68,43.67
104年1月,臺北自來水事業處,190133,0.12,-,-,-,-,--
104年1月,體育局,3899740,2.46,114594,2.94,24356,0.62,21.25
104年1月,資訊局,518548,0.33,30079,5.8,12008,2.32,39.92
104年1月,法務局,153841,0.1,31795,20.67,15798,10.27,49.69
104年1月,捷運工程局,119049,0.08,2722,2.29,-,-,-
104年1月,統籌支撥科目,6951025,4.38,2539929,36.54,1748126,25.15,68.83
104年1月,第二預備金,950000,0.6,5195,0.55,-,-,-
104年2月,總計,158544077,100,36033111,22.73,32046867,20.21,88.94
104年2月,市議會,830527,0.52,210180,25.31,158881,19.13,75.59
104年2月,市政府,5080278,3.2,1208299,23.78,984117,19.37,81.45
104年2月,民政局,2682817,1.69,594994,22.18,466933,17.4,78.48
104年2月,財政局,3660708,2.31,390765,10.67,346377,9.46,88.64
104年2月,教育局,55793994,35.19,15430110,27.66,15322732,27.46,99.3
104年2月,產業發展局,2023974,1.28,301107,14.88,260844,12.89,86.63
104年2月,工務局,13964694,8.81,1965773,14.08,1559826,11.17,79.35
104年2月,交通局,5819572,3.67,1872250,32.17,1658032,28.49,88.56
104年2月,社會局,14375598,9.07,2220920,15.45,1871331,13.02,84.26
104年2月,勞動局,4350616,2.74,188501,4.33,144360,3.32,76.58
104年2月,警察局,13619735,8.59,3918615,28.77,3340630,24.53,85.25
104年2月,衛生局,4928919,3.11,361321,7.33,254982,5.17,70.57
104年2月,環境保護局,6501271,4.1,2001477,30.79,1730919,26.62,86.48
104年2月,都市發展局,1969323,1.24,479209,24.33,280225,14.23,58.48
104年2月,文化局,5023821,3.17,728580,14.5,478095,9.52,65.62
104年2月,消防局,2862595,1.81,663230,23.17,591135,20.65,89.13
104年2月,翡翠水庫管理局,419358,0.26,64565,15.4,50372,12.01,78.02
104年2月,觀光傳播局,497355,0.31,74749,15.03,62535,12.57,83.66
104年2月,地政局,1168713,0.74,347004,29.69,306170,26.2,88.23
104年2月,兵役局,203169,0.13,54299,26.73,42732,21.03,78.7
104年2月,臺北自來水事業處,190133,0.12,-,-,-,-,--
104年2月,體育局,3899740,2.46,179347,4.6,60690,1.56,33.84
104年2月,資訊局,518548,0.33,104935,20.24,84237,16.24,80.28
104年2月,法務局,153841,0.1,50425,32.78,40726,26.47,80.76
104年2月,捷運工程局,119049,0.08,2722,2.29,2621,2.2,96.3
104年2月,統籌支撥科目,6951025,4.38,2619733,37.69,1947363,28.02,74.33
104年2月,第二預備金,934705,0.59,-,-,-,-,--
104年3月,總計,158544077,100,45510777,28.71,38955808,24.57,85.6
104年3月,市議會,830527,0.52,266712,32.11,207258,24.96,77.71
104年3月,市政府,5080278,3.2,1557756,30.66,1312827,25.84,84.28
104年3月,民政局,2682817,1.69,844549,31.48,630913,23.52,74.7
104年3月,財政局,3660708,2.31,799795,21.85,750532,20.5,93.84
104年3月,教育局,55793994,35.19,16417727,29.43,16287795,29.19,99.21
104年3月,產業發展局,2023974,1.28,379441,18.75,320546,15.84,84.48
104年3月,工務局,13968697,8.81,3267733,23.39,2659854,19.04,81.4
104年3月,交通局,5829506,3.68,2208098,37.88,1801920,30.91,81.61
104年3月,社會局,14376081,9.07,3386627,23.56,3027655,21.06,89.4
104年3月,勞動局,4350616,2.74,1832713,42.13,1780372,40.92,97.14
104年3月,警察局,13619735,8.59,4975095,36.53,4169629,30.61,83.81
104年3月,衛生局,4928919,3.11,790836,16.04,666727,13.53,84.31
104年3月,環境保護局,6501271,4.1,2507257,38.57,2141443,32.94,85.41
104年3月,都市發展局,1969323,1.24,550255,27.94,492071,24.99,89.43
104年3月,文化局,5023821,3.17,931958,18.55,720611,14.34,77.32
104年3月,消防局,2862595,1.81,891332,31.14,766984,26.79,86.05
104年3月,翡翠水庫管理局,419358,0.26,81101,19.34,65569,15.64,80.85
104年3月,觀光傳播局,497355,0.31,99496,20.01,82054,16.5,82.47
104年3月,地政局,1168713,0.74,422171,36.12,372924,31.91,88.33
104年3月,兵役局,203169,0.13,67713,33.33,53891,26.53,79.59
104年3月,臺北自來水事業處,190133,0.12,159083,83.67,158896,83.57,99.88
104年3月,體育局,3899740,2.46,251547,6.45,105635,2.71,41.99
104年3月,資訊局,518548,0.33,124966,24.1,101587,19.59,81.29
104年3月,法務局,153841,0.1,61835,40.19,51401,33.41,83.13
104年3月,捷運工程局,119049,0.08,2822,2.37,2621,2.2,92.89
104年3月,統籌支撥科目,6951025,4.38,2632158,37.87,224093,3.22,8.51
104年3月,第二預備金,920284,0.58,-,-,-,-,--
104年4月,總計,158544077,100,54136997,34.15,48405196,30.53,89.41
104年4月,市議會,830527,0.52,331539,39.92,257355,30.99,77.62
104年4月,市政府,5082878,3.21,1916635,37.71,1635888,32.18,85.35
104年4月,民政局,2682817,1.69,1026922,38.28,835794,31.15,81.39
104年4月,財政局,3660708,2.31,900525,24.6,835332,22.82,92.76
104年4月,教育局,55793994,35.19,19015735,34.08,18650346,33.43,98.08
104年4月,產業發展局,2023974,1.28,515786,25.48,384799,19.01,74.6
104年4月,工務局,13968697,8.81,4040372,28.92,3137621,22.46,77.66
104年4月,交通局,5829284,3.68,2528210,43.37,2089371,35.84,82.64
104年4月,社會局,14376081,9.07,4699979,32.69,4263443,29.66,90.71
104年4月,勞動局,4350616,2.74,1903098,43.74,1835080,42.18,96.43
104年4月,警察局,13619735,8.59,5938080,43.6,5118057,37.58,86.19
104年4月,衛生局,4928919,3.11,1252827,25.42,1107746,22.47,88.42
104年4月,環境保護局,6501271,4.1,2924755,44.99,2640023,40.61,90.26
104年4月,都市發展局,1969323,1.24,623191,31.64,557144,28.29,89.4
104年4月,文化局,5023821,3.17,1087347,21.64,817625,16.27,75.19
104年4月,消防局,2862595,1.81,1071677,37.44,932359,32.57,87
104年4月,翡翠水庫管理局,419358,0.26,97800,23.32,81986,19.55,83.83
104年4月,觀光傳播局,497355,0.31,126532,25.44,104413,20.99,82.52
104年4月,地政局,1168713,0.74,502983,43.04,445477,38.12,88.57
104年4月,兵役局,203169,0.13,79399,39.08,65086,32.04,81.97
104年4月,臺北自來水事業處,190133,0.12,159113,83.69,158896,83.57,99.86
104年4月,體育局,3906140,2.46,488005,12.49,195694,5.01,40.1
104年4月,資訊局,518548,0.33,173059,33.37,130228,25.11,75.25
104年4月,法務局,153841,0.1,73163,47.56,61686,40.1,84.31
104年4月,捷運工程局,119049,0.08,2822,2.37,2621,2.2,92.89
104年4月,統籌支撥科目,6951025,4.38,2657442,38.23,2061127,29.65,77.56
104年4月,第二預備金,911506,0.57,-,-,-,-,--
104年5月,總計,158544077,100,65130531,41.08,57298237,36.14,87.97
104年5月,市議會,830527,0.52,388021,46.72,316925,38.16,81.68
104年5月,市政府,5088803,3.21,2285548,44.91,1946051,38.24,85.15
104年5月,民政局,2682817,1.69,1286273,47.94,1034838,38.57,80.45
104年5月,財政局,3660708,2.31,1314686,35.91,1228991,33.57,93.48
104年5月,教育局,55793994,35.19,22197485,39.78,21765520,39.01,98.05
104年5月,產業發展局,2023974,1.28,796518,39.35,672109,33.21,84.38
104年5月,工務局,13968697,8.81,4928348,35.28,3640984,26.07,73.88
104年5月,交通局,5829284,3.68,2941593,50.46,2529491,43.39,85.99
104年5月,社會局,14376081,9.07,5877625,40.88,5509571,38.32,93.74
104年5月,勞動局,4350616,2.74,1967795,45.23,1882383,43.27,95.66
104年5月,警察局,13619735,8.59,6868563,50.43,5941043,43.62,86.5
104年5月,衛生局,4928919,3.11,1758609,35.68,1607169,32.61,91.39
104年5月,環境保護局,6501271,4.1,3356320,51.63,3049802,46.91,90.87
104年5月,都市發展局,1969323,1.24,712288,36.17,614344,31.2,86.25
104年5月,文化局,5023821,3.17,1264375,25.17,931248,18.54,73.65
104年5月,消防局,2862595,1.81,1239688,43.31,1094878,38.25,88.32
104年5月,翡翠水庫管理局,419358,0.26,113886,27.16,97416,23.23,85.54
104年5月,觀光傳播局,497355,0.31,163353,32.84,125833,25.3,77.03
104年5月,地政局,1168713,0.74,582868,49.87,514791,44.05,88.32
104年5月,兵役局,203169,0.13,100171,49.3,78270,38.52,78.14
104年5月,臺北自來水事業處,190133,0.12,160233,84.27,159896,84.1,99.79
104年5月,體育局,3906140,2.46,566755,14.51,240596,6.16,42.45
104年5月,資訊局,518548,0.33,200431,38.65,155796,30.04,77.73
104年5月,法務局,153841,0.1,84508,54.93,71310,46.35,84.38
104年5月,捷運工程局,119049,0.08,2822,2.37,2621,2.2,92.89
104年5月,統籌支撥科目,6951025,4.38,3971770,57.14,2086363,30.02,52.53
104年5月,第二預備金,905581,0.57,-,-,-,-,--
104年6月,總計,158544077,100,78427092,49.47,70652222,44.56,90.09
104年6月,市議會,830527,0.52,444209,53.49,381866,45.98,85.97
104年6月,市政府,5088803,3.21,2658157,52.24,2242061,44.06,84.35
104年6月,民政局,2682817,1.69,1458353,54.36,1183337,44.11,81.14
104年6月,財政局,3655513,2.31,2416034,66.09,2332579,63.81,96.55
104年6月,教育局,55793994,35.19,27998231,50.18,27121152,48.61,96.87
104年6月,產業發展局,2023974,1.28,887426,43.85,756029,37.35,85.19
104年6月,工務局,13968697,8.81,5955577,42.64,4395063,31.46,73.8
104年6月,交通局,5829284,3.68,3311308,56.8,2949299,50.59,89.07
104年6月,社會局,14376081,9.07,7335149,51.02,6804029,47.33,92.76
104年6月,勞動局,4350616,2.74,2030681,46.68,1939900,44.59,95.53
104年6月,警察局,13619735,8.59,7885204,57.9,6768613,49.7,85.84
104年6月,衛生局,4928919,3.11,2115036,42.91,1938711,39.33,91.66
104年6月,環境保護局,6501271,4.1,3795833,58.39,3458436,53.2,91.11
104年6月,都市發展局,1994323,1.26,801394,40.18,708238,35.51,88.38
104年6月,文化局,5038821,3.18,1634906,32.45,1067865,21.19,65.32
104年6月,消防局,2864919,1.81,1414560,49.38,1258368,43.92,88.96
104年6月,翡翠水庫管理局,419358,0.26,132596,31.62,112728,26.88,85.02
104年6月,觀光傳播局,497355,0.31,191295,38.46,157899,31.75,82.54
104年6月,地政局,1168713,0.74,664821,56.88,589696,50.46,88.7
104年6月,兵役局,203169,0.13,117695,57.93,91303,44.94,77.58
104年6月,臺北自來水事業處,190133,0.12,161833,85.12,160966,84.66,99.46
104年6月,體育局,3911128,2.47,668855,17.1,525723,13.44,78.6
104年6月,資訊局,518548,0.33,221244,42.67,169187,32.63,76.47
104年6月,法務局,153841,0.1,95210,61.89,81938,53.26,86.06
104年6月,捷運工程局,119049,0.08,2822,2.37,2621,2.2,92.89
104年6月,統籌支撥科目,6951025,4.38,4028663,57.96,3454614,49.7,85.75
104年6月,第二預備金,863464,0.54,-,-,-,-,--
104年7月,總計,158544077,100,95918600,60.5,86068642,54.29,89.73
104年7月,市議會,830527,0.52,518291,62.41,444135,53.48,85.69
104年7月,市政府,5091603,3.21,3098650,60.86,2574048,50.55,83.07
104年7月,民政局,2685357,1.69,1742756,64.9,1355589,50.48,77.78
104年7月,財政局,3655513,2.31,2736083,74.85,2646800,72.41,96.74
104年7月,教育局,55793994,35.19,35349767,63.36,34609772,62.03,97.91
104年7月,產業發展局,2060964,1.3,1129436,54.8,950186,46.1,84.13
104年7月,工務局,13968697,8.81,7008831,50.18,5179857,37.08,73.9
104年7月,交通局,5829284,3.68,3669800,62.95,3252989,55.8,88.64
104年7月,社會局,14376081,9.07,9097263,63.28,8003370,55.67,87.98
104年7月,勞動局,4350616,2.74,2092169,48.09,1999442,45.96,95.57
104年7月,警察局,13619735,8.59,8866702,65.1,7639648,56.09,86.16
104年7月,衛生局,4928919,3.11,2578078,52.31,2408106,48.86,93.41
104年7月,環境保護局,6501271,4.1,4236125,65.16,3935053,60.53,92.89
104年7月,都市發展局,2007679,1.27,1358109,67.65,1052645,52.43,77.51
104年7月,文化局,5038821,3.18,2090534,41.49,1204092,23.9,57.6
104年7月,消防局,2865954,1.81,1635176,57.06,1420594,49.57,86.88
104年7月,翡翠水庫管理局,419358,0.26,167053,39.84,135638,32.34,81.19
104年7月,觀光傳播局,497355,0.31,230607,46.37,183643,36.92,79.63
104年7月,地政局,1168713,0.74,746721,63.89,663965,56.81,88.92
104年7月,兵役局,203169,0.13,131520,64.73,103608,51,78.78
104年7月,臺北自來水事業處,190133,0.12,161833,85.12,160966,84.66,99.46
104年7月,體育局,3911128,2.47,946417,24.2,600753,15.36,63.48
104年7月,資訊局,518548,0.33,281762,54.34,196158,37.83,69.62
104年7月,法務局,153841,0.1,107728,70.03,92936,60.41,86.27
104年7月,捷運工程局,119049,0.08,2822,2.37,2621,2.2,92.89
104年7月,統籌支撥科目,6951025,4.38,5934366,85.37,5252026,75.56,88.5
104年7月,第二預備金,806743,0.51,-,-,-,-,--
104年8月,總計,158544077,100,107855623,68.03,96590479,60.92,89.56
104年8月,市議會,830527,0.52,581493,70.01,494891,59.59,85.11
104年8月,市政府,5097033,3.21,3547237,69.59,2921527,57.32,82.36
104年8月,民政局,2685357,1.69,1876530,69.88,1532086,57.05,81.64
104年8月,財政局,3655513,2.31,2828657,77.38,2729984,74.68,96.51
104年8月,教育局,55793994,35.19,39912976,71.54,39043104,69.98,97.82
104年8月,產業發展局,2060964,1.3,1232306,59.79,1074604,52.14,87.2
104年8月,工務局,13968697,8.81,8161585,58.43,6036631,43.22,73.96
104年8月,交通局,5829284,3.68,4109135,70.49,3494101,59.94,85.03
104年8月,社會局,14376081,9.07,10177577,70.8,9080515,63.16,89.22
104年8月,勞動局,4350616,2.74,2153920,49.51,2046641,47.04,95.02
104年8月,警察局,13619735,8.59,9945622,73.02,8496169,62.38,85.43
104年8月,衛生局,4938919,3.12,3338414,67.59,3151556,63.81,94.4
104年8月,環境保護局,6501271,4.1,4714997,72.52,4347828,66.88,92.21
104年8月,都市發展局,2007679,1.27,1435132,71.48,1285427,64.03,89.57
104年8月,文化局,5038821,3.18,2606511,51.73,1422409,28.23,54.57
104年8月,消防局,2865954,1.81,1840501,64.22,1682066,58.69,91.39
104年8月,翡翠水庫管理局,419358,0.26,191110,45.57,157837,37.64,82.59
104年8月,觀光傳播局,497355,0.31,268581,54,209505,42.12,78
104年8月,地政局,1168713,0.74,826573,70.73,731930,62.63,88.55
104年8月,兵役局,203169,0.13,149051,73.36,114701,56.46,76.95
104年8月,臺北自來水事業處,190133,0.12,161833,85.12,161044,84.7,99.51
104年8月,體育局,3912028,2.47,1416846,36.22,663186,16.95,46.81
104年8月,資訊局,523340,0.33,302153,57.74,239097,45.69,79.13
104年8月,法務局,153841,0.1,118308,76.9,103578,67.33,87.55
104年8月,捷運工程局,119049,0.08,2822,2.37,2621,2.2,92.89
104年8月,統籌支撥科目,6951025,4.38,5955754,85.68,5367441,77.22,90.12
104年8月,第二預備金,785621,0.5,-,-,-,-,--
104年9月,總計,158544077,100,120739319,76.16,108092264,68.18,89.53
104年9月,市議會,830527,0.52,644755,77.63,544813,65.6,84.5
104年9月,市政府,5097033,3.21,3955985,77.61,3277144,64.3,82.84
104年9月,民政局,2685357,1.69,2165784,80.65,1690154,62.94,78.04
104年9月,財政局,3655513,2.31,2941172,80.46,2831899,77.47,96.28
104年9月,教育局,55793994,35.19,44020708,78.9,43103049,77.25,97.92
104年9月,產業發展局,2062538,1.3,1545457,74.93,1338013,64.87,86.58
104年9月,工務局,13968697,8.81,9312025,66.66,6790351,48.61,72.92
104年9月,交通局,5829284,3.68,4600968,78.93,3900094,66.91,84.77
104年9月,社會局,14384501,9.07,11395397,79.22,10122866,70.37,88.83
104年9月,勞動局,4350616,2.74,3781324,86.91,3666427,84.27,96.96
104年9月,警察局,13619735,8.59,10931614,80.26,9522970,69.92,87.11
104年9月,衛生局,4944362,3.12,3822440,77.31,3598541,72.78,94.14
104年9月,環境保護局,6501271,4.1,5229998,80.45,4828658,74.27,92.33
104年9月,都市發展局,2007679,1.27,1537277,76.57,1347431,67.11,87.65
104年9月,文化局,5038821,3.18,2811696,55.8,1559083,30.94,55.45
104年9月,消防局,2865954,1.81,2166572,75.6,1868091,65.18,86.22
104年9月,翡翠水庫管理局,419358,0.26,250831,59.81,205785,49.07,82.04
104年9月,觀光傳播局,497355,0.31,309910,62.31,248383,49.94,80.15
104年9月,地政局,1168713,0.74,901788,77.16,797903,68.27,88.48
104年9月,兵役局,203169,0.13,162478,79.97,133120,65.52,81.93
104年9月,臺北自來水事業處,190133,0.12,163433,85.96,162840,85.65,99.64
104年9月,體育局,3912028,2.47,1569375,40.12,706084,18.05,44.99
104年9月,資訊局,533590,0.34,324460,60.81,259581,48.65,80
104年9月,法務局,155341,0.1,128818,82.93,114082,73.44,88.56
104年9月,捷運工程局,119049,0.08,12822,10.77,2621,2.2,20.44
104年9月,統籌支撥科目,6951025,4.38,6052233,87.07,5472281,78.73,90.42
104年9月,第二預備金,758434,0.48,-,-,-,-,--
104年10月,總計,158544077,100,131878492,83.18,117550656,74.14,89.14
104年10月,市議會,830527,0.52,707437,85.18,603648,72.68,85.33
104年10月,市政府,5097033,3.21,4321530,84.79,3649249,71.6,84.44
104年10月,民政局,2685357,1.69,2323105,86.51,1860356,69.28,80.08
104年10月,財政局,3655513,2.31,3027684,82.83,2910564,79.62,96.13
104年10月,教育局,55793994,35.19,47377362,84.91,46295690,82.98,97.72
104年10月,產業發展局,2063538,1.3,1727504,83.72,1428484,69.22,82.69
104年10月,工務局,13968697,8.81,10622179,76.04,7734819,55.37,72.82
104年10月,交通局,5829284,3.68,4957027,85.04,4244878,72.82,85.63
104年10月,社會局,14384363,9.07,12407252,86.26,11353132,78.93,91.5
104年10月,勞動局,4350616,2.74,3840221,88.27,3730519,85.75,97.14
104年10月,警察局,13619735,8.59,11902995,87.4,10367780,76.12,87.1
